"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"SMARTseq processed counts (day 1)","Processed counts for day 1 for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/counts-processed-day1.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq processed counts (day 2)","Processed counts for day 2 for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/counts-processed-day2.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq processed counts (day 3)","Processed counts for day 3 for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/counts-processed-day3.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq processed counts (day 4)","Processed counts for day 4 for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/counts-processed-day4.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq processed counts (day 5)","Processed counts for day 5 for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/counts-processed-day5.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq rowData","Per-gene metadata for all days for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/rowdata.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","genes.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq colData (day 1)","Per-cell metadata for day 1 for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/coldata-day1.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","meta.tab.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq colData (day 2)","Per-cell metadata for day 2 for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/coldata-day2.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","meta.tab.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq colData (day 3)","Per-cell metadata for day 3 for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/coldata-day3.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","meta.tab.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq colData (day 4)","Per-cell metadata for day 4 for the mouse ageing thymus single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/coldata-day4.rds","3.12","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","meta.tab.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
